review_description,rating,developer_response,review_description_after_removing_stop_words
it top hard to play please make it simple  loudly cry face ,3,Hi! Thanks for sharing your experience. We understand that some things may be confusing. Could you please give us some feedback about it? We've tried to make our game as enjoyable as we could and your feedback will help us to make our game better in the future!,top hard play please make simple  loudly cry face 
 def recommend this game ha a very good story line plus you get to meet deferent character and they have a section with description of each character a well i would have gave it a  but you eventually get to a point where not matter how good you are you will not win other than that this wa a great game i plan on playing it for the long run please change that part of the game you shouldnt have to pay just to continue the game,5,Hello! We are glad you liked the game! Thank you for your review! We will take it into account and will try to make our game better in the future!Stay tuned! Have fun playing the game!, def recommend game ha good story line plus get meet deferent character section description character well would gave  eventually get point matter good win wa great game plan playing long run please change part game shouldnt pay continue game
great game interesting story line,5,,great game interesting story line
when is this game going to advanced in the software  grimacing face ,1,"Hello! If you have some troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!",game going advanced software  grimacing face 
i like trying to color coordinate the room,5,,like trying color coordinate room
great game thank you,5,,great game thank
it really good game,5,,really good game
i just needed the cute hotel sign,5,,needed cute hotel sign
very nice awesome fantastic fabulous  ok hand   clapping hand   thumb up ,5,,nice awesome fantastic fabulous  ok hand   clapping hand   thumb 
i once had to delete this game because i needed the space i decided to redownload and when i did the size wa around  mb but then i started playing and at different point would be required to download furniture to continue playing why what rubbish is this now the size is about mb how annoying the only reason i ever stopped playing wa for the storage and now it seems im going to have to delete it again soon not to mention the data it swallowing very disappointing  pouting face ,1,Hello! We are very sorry to hear that you have decided to stop playing. We regret the situation. Could you please contact our support team regarding this? You can do this via Game Settings -> Report a Bug or via support@playflock.com! We will be happy to help!,delete game needed space decided redownload size wa around  mb started playing different point would required download furniture continue playing rubbish size mb annoying reason ever stopped playing wa storage seems im going delete soon mention data swallowing disappointing  pouting face 
i jus love kid  face with tear of joy ,5,,jus love kid  face tear joy 
i havent played it yet but from what people are saying in the review i think it would be great but i hope there are no ad because i wont mind deleting it,3,"Hello! Thank you for your review! If you like our game, maybe you can change your rating to five stars, please? That would be very kind of you! Thanks in advance!",havent played yet people saying review think would great hope ad wont mind deleting
i love this game a lot  beaming face with smiling eye  smiling face with heart  this is very good game aid is excellent and my blowing game,5,,love game lot  beaming face smiling eye  smiling face heart  good game aid excellent blowing game
awsome but the downloading is too many,3,"Hello! If you have any problems in our game, you can contact our support service about this. You can do this through the Game Settings - Help or write directly to the mail support@playflock.com ! We will be happy to help!",awsome downloading many
i love thi game i know many people love this,5,,love thi game know many people love
so far so true and good,5,,far true good
i love all the new decoration,5,,love new decoration
the app doe not open,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Support or via support@playflock.com! We will be happy to help!,app doe open
worldful game a best medium to spend time,5,,worldful game best medium spend time
nice and my wish game,5,,nice wish game
beautiful love because it is a great game in love,5,,beautiful love great game love
the game is good but i dont know about the new update,5,,game good dont know new update
what i find extremely disappointing is that all your free item are labeled with ad at first thats good because if you want a  minute heart boost then you watch an ad for it problem is what if those ad dont work or load i updated my phone and checked my internet connection and still it doesnt work maybe try fixing your ad situation to where it not so difficult or just remove ad altogether and replace it with player point to buy boost with the point  confounded face  disappointed face ,2,Hello! We are very sorry that you did not like something in the game. We wanted it to bring only joy! We will definitely take your feedback into account and try to make the game better!,find extremely disappointing free item labeled ad first thats good want  minute heart boost watch ad problem ad dont work load updated phone checked internet connection still doesnt work maybe try fixing ad situation difficult remove ad altogether replace player point buy boost point  confounded face  disappointed face 
man this game could be so good but it is so so so ad based and pay to win also the design option that you dont have to watch ad for dont match with one another please please fix this,1,"Hello! We are sorry to hear that you didn't like the amount of ads in the game. Advertising allows us to release regular content and make exciting and beautiful decorations.We want to bring only joy with our games and appreciate your feedback on the matter! Also, we will take it into account and will try to make our game better in future!",man game could good ad based pay win also design option dont watch ad dont match one another please please fix
is very joyful  smiling face with heart ,5,,joyful  smiling face heart 
this game is my best game so far but what annoys me in the game is using many key to pas each task while leveling up it better one key per task please,5,,game best game far annoys game using many key pas task leveling better one key per task please
it is one of the best game ive ever played it just that i cant sign in so whenever i change my phone i have to start all over again and i just updated it but it starting to malfunction it kept saying error not enough space to download resource pls help me with these problem,5,,one best game ive ever played cant sign whenever change phone start updated starting malfunction kept saying error enough space download resource pls help problem
verry nice game  smiling face with heart  smiling face with heart  smiling face with heart ,5,,verry nice game  smiling face heart  smiling face heart  smiling face heart 
it pretty fun and in grade seven it wa pretty fun to play but it missing some outfit to change,5,,pretty fun grade seven wa pretty fun play missing outfit change
i am so obsessed with this game  red heart ,5,,obsessed game  red heart 
awesome game one issue is the lack of log in i havent got my facebook working and unexpectedly my phone broke i restored apps but unfortunately im no longer at the place i wa before and it very demotivating is there any way i could atleast get some of my progress id just finished the pond near where anne and connor were gon na have their date,5,,awesome game one issue lack log havent got facebook working unexpectedly phone broke restored apps unfortunately im longer place wa demotivating way could atleast get progress id finished pond near anne connor gon na date
waste of time  neutral face  slightly smiling face ,1,"Hello! Sorry to hear that you don't like our game. Could you please give us some feedback about it?
",waste time  neutral face  slightly smiling face 
i love it it is so fun  smiling face ,5,,love fun  smiling face 
best game ever but please change the logo front pic to much sexy so remove,5,,best game ever please change logo front pic much sexy remove
your advertisement keep crashingfixed it please,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Support or via support@playflock.com! We will be happy to help!,advertisement keep crashingfixed please
super fun so far im excited to see how the game progress a i keep playing,5,,super fun far im excited see game progress keep playing
very nice game  video game  video game ,5,,nice game  video game  video game 
i dont know how it is bcz i am playing it for first time  grinning face with big eye ,5,,dont know bcz playing first time  grinning face big eye 
awesome time passing game but i would like to sign in to my facebook account it stuck on error,4,,awesome time passing game would like sign facebook account stuck error
hi i had passed the  stage but suddenly it stopped and it automatically enters the exhibition game and i cant play the main game please advise,5,,hi passed  stage suddenly stopped automatically enters exhibition game cant play main game please advise
honestly i love this game it ha a great story line and i love the interactive text  red heart ,5,,honestly love game ha great story line love interactive text  red heart 
this is a very good and fantastic game,5,,good fantastic game
it relieved my stress and so far this is the best game even some level are difficult this is the best  smiling face with hearteyes  green heart ,5,,relieved stress far best game even level difficult best  smiling face hearteyes  green heart 
wow i like it  smiling face with smiling eye  red heart ,5,,wow like  smiling face smiling eye  red heart 
for now it still running good,5,,still running good
please help make my downloads fast,5,,please help make downloads fast
very addicted love the feature,5,,addicted love feature
love this game so much,5,,love game much
i cant explain  nauseated face ,1,Hello! Sorry to hear that you don't like our game. Could you please give us some feedback about it? We've tried to make our game as enjoyable as we could and your feedback will help us to make our game better in future!,cant explain  nauseated face 
terrible i ignored all the negative comment and downloaded it big mistake i havent even gotten through the first level after attempting  time im tired so i uninstalled it it just take me to my home screen  unamused face  very disappointed  pensive face ,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Support or via support@playflock.com! We will be happy to help!,terrible ignored negative comment downloaded big mistake havent even gotten first level attempting  time im tired uninstalled take home screen  unamused face  disappointed  pensive face 
i love  two heart  this app,5,,love  two heart  app
good girl  winking face with tongue ,5,,good girl  winking face tongue 
i rate it stars to give me a unique decor  winking face ,5,,rate stars give unique decor  winking face 
it doesnt want to play  angry face ,1,"Hello! Sorry to hear that you don't like our game. Could you please give us some feedback about it?
",doesnt want play  angry face 
such ma bad and boring game when we complete the level we get only  key if we failed than they tell you lose  key and this game is so boring type i am uninstalling this game right now  face vomiting ,1,"Hello! Sorry to hear that you don't like our game. Could you please give us some feedback about it? We've tried to make our game as enjoyable as we could and your feedback will help us to make our game better in future!
",bad boring game complete level get  key failed tell lose  key game boring type uninstalling game right  face vomiting 
it a great thing to learn and to play game to keep your self from your personal problem if you have them,5,,great thing learn play game keep self personal problem
wow so beautiful game,1,"Hello! Thank you for your kind words! If you like our game, maybe you can change your rating to five stars please? That would be very kind of you! Thanks in advance!",wow beautiful game
this is not a game for young teen it okay for  maybe ,1,Hello! Sorry to hear that you don't like something in the game! We want to bring only enjoyment to our games! Thank you for your review! We will take it into account and try to make our game better in the future!,game young teen okay  maybe 
the game is good but sometimes the game glitch and refuse to give you key after completing level and every three to four level completed the game refuse to give you coin ive lost around  key and up to  and when you try to contact help you have to pay and if it is below a certain amount it will tell you to retry would not recommend getting invested,2,"Hello! If you have any problems in our game, you can contact our support service about this. You can do this through the Game Settings - Help or write directly to the mail support@playflock.com ! We will be happy to help!",game good sometimes game glitch refuse give key completing level every three four level completed game refuse give coin ive lost around  key  try contact help pay certain amount tell retry would recommend getting invested
good story and game play,4,,good story game play
this game is incredible infact i love it i proudly recommend it to everyone it a cool game,5,,game incredible infact love proudly recommend everyone cool game
game continues to crash now it crash before it completely load which is very frustrating considering how high i am in the level i have plenty of space on my tablet and not running any other apps while i play this it a shame because i really like the game,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Support or via support@playflock.com! We will be happy to help!,game continues crash crash completely load frustrating considering high level plenty space tablet running apps play shame really like game
pakistan family hotel,5,,pakistan family hotel
i love it  smiling face with hearteyes ,4,,love  smiling face hearteyes 
the game is very much like good game,5,,game much like good game
family hotel love rate this app,5,,family hotel love rate app
ill give this game  star,5,,ill give game  star
i think it amazing if it not about puzzle,5,,think amazing puzzle
i really like this game it is actually better than i thought it would be i am playing this game every day i am already on level  and i started two day ago,5,,really like game actually better thought would playing game every day already level  started two day ago
i really like this game,5,,really like game
bad it ha so much bug problem first of all fixed that then i will change my word,1,"Hello! Do you have any troubles with the game? Let us know about it! We will be glad to help!
",bad ha much bug problem first fixed change word
𝐈 𝐭𝐡𝐢𝐧𝐤 𝐭𝐡𝐞 𝐠𝐚𝐦𝐞 𝐢𝐬 𝐯𝐞𝐫𝐲 𝐢𝐧𝐭𝐫𝐞𝐬𝐭𝐢𝐧𝐠 𝐈 𝐥𝐨𝐯𝐞 𝐭𝐡𝐞 𝐠𝐚𝐦𝐞 𝐯𝐞𝐫𝐲 𝐦𝐮𝐜𝐡 𝐈 𝐨𝐥𝐚𝐲 𝐢𝐭 𝐞𝐯𝐞𝐫𝐲 𝐝𝐚𝐲 𝐦𝐨𝐫𝐦𝐨𝐧𝐠 𝐚𝐧𝐝 𝐧𝐢𝐠𝐡𝐭,5,,𝐈 𝐭𝐡𝐢𝐧𝐤 𝐭𝐡𝐞 𝐠𝐚𝐦𝐞 𝐢𝐬 𝐯𝐞𝐫𝐲 𝐢𝐧𝐭𝐫𝐞𝐬𝐭𝐢𝐧𝐠 𝐈 𝐥𝐨𝐯𝐞 𝐭𝐡𝐞 𝐠𝐚𝐦𝐞 𝐯𝐞𝐫𝐲 𝐦𝐮𝐜𝐡 𝐈 𝐨𝐥𝐚𝐲 𝐢𝐭 𝐞𝐯𝐞𝐫𝐲 𝐝𝐚𝐲 𝐦𝐨𝐫𝐦𝐨𝐧𝐠 𝐚𝐧𝐝 𝐧𝐢𝐠𝐡𝐭
i updated the app and now it no working on my phone,1,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Support or via support@playflock.com! We will be happy to help!,updated app working phone
she is good game  red heart  thumbs up  red heart ,5,,good game  red heart  thumbs  red heart 
so amazing i make a hotel,5,,amazing make hotel
super fun my dream,5,,super fun dream
the icon pic is not very suitable at all,2,"Hello! Sorry that our game didn't match your expectations. Maybe if you give it one more chance, the game will interest you with plot twists. And this will make you change your opinion about the game!",icon pic suitable
i absolutely love designing and playing game plus the character banter remind me of enemy to lover,5,,absolutely love designing playing game plus character banter remind enemy lover
scam for every  level you pas youre forced to watch  video so you have more video than you do game time bomb attack other bomb not target piece video run so much that you cant enjoy your booster so dont waste money on them because they cheat you out of your time to use them if it  piece in front of your target piece use double bee it will only hit one of them so you will still lose a rocket bee together dont go anywhere near target piece homescapes is much better,1,Hello! Sorry to hear that you don't like some parts of the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!,scam every  level pas youre forced watch  video video game time bomb attack bomb target piece video run much cant enjoy booster dont waste money cheat time use  piece front target piece use double bee hit one still lose rocket bee together dont go anywhere near target piece homescapes much better
i love this game it boost your confidence and the stuff you earn is unbeatable and exiting twist,5,,love game boost confidence stuff earn unbeatable exiting twist
i love bit but this is not how i downloaded it that is why i rated it star but at first it wa three,4,,love bit downloaded rated star first wa three
not good  unamused face  unamused face  just waste your time and mb  expressionless face  expressionless face ,1,Hello! Sorry to hear that you don't like our game. Could you please give us some feedback about it? We've tried to make our game as enjoyable as we could and your feedback will help us to make our game better in future!,good  unamused face  unamused face  waste time mb  expressionless face  expressionless face 
the best game to play,5,,best game play
hey man it beautiful game  smiling face with halo  smiling face with halo  smiling face with halo  smiling face with halo  smiling face with halo ,5,,hey man beautiful game  smiling face halo  smiling face halo  smiling face halo  smiling face halo  smiling face halo 
 smiling face with hearteyes   smiling face with hearteyes  good,5,, smiling face hearteyes   smiling face hearteyes  good
love this game  hugging face  hugging face  victory hand  person cartwheeling  purple heart  purple heart ,3,"Hello! We're glad that you like our game! But you gave us only three stars, not five. Could you please correct the rating? Thanks in advance!",love game  hugging face  hugging face  victory hand  person cartwheeling  purple heart  purple heart 
lately ha been crushing a lot i thought i maybe needed to update the app but it been a few month now,3,Hello! We are very sorry that updates to the game have become less frequent. We wanted it to bring only joy! We will definitely take your feedback into account and try to make the game better!,lately ha crushing lot thought maybe needed update app month
amazing game to play,5,,amazing game play
it super cute not too many ad to be obnoxious and outfit and decoration are at a cheep price i  recommend this game for long trip,5,,super cute many ad obnoxious outfit decoration cheep price  recommend game long trip
this game  video game  is very amazing just it difficult to gain key  key  but very easy to use them,5,,game  video game  amazing difficult gain key  key  easy use
looking forward to seeing you guy,5,,looking forward seeing guy
the best building of a real family experience,5,,best building real family experience
i love the game but recently my phone reseted and when i re installed the game i check in with facebook and still lost all my progress i wa on level  and now im on level  again,2,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Support or via support@playflock.com! We will be happy to help!,love game recently phone reseted installed game check facebook still lost progress wa level  im level 
the game doesnt enter quickly and very slowly it doesnt enter easily,5,,game doesnt enter quickly slowly doesnt enter easily
i waited for more than a year for an update when they finally did it wa just about half a room decor and about  level only it took me less than an hour to finish decorating and then go back to waiting for an update again this is the last straw if not for what ive invested so far i wouldve uninstalled it since and never looked back and im still on the fence about it i would probably uninstall it very soon,5,"Hello! The game's upcoming content for the game is in active state. We can't say the exact dates of the update yet, but in the future there will be new levels and chapters to complete, so we will try to please you with new content as soon as possible! Thank you for your interest in our game!",waited year update finally wa half room decor  level took less hour finish decorating go back waiting update last straw ive invested far wouldve uninstalled since never looked back im still fence would probably uninstall soon
i like this up  smiling face ,5,,like  smiling face 
the game is good since but there is too many ad and when play ad when you return to the game the sound is off untill you restart it please make follow on it,5,Hello! Thanks for your feedback! We handed it over to the development team.,game good since many ad play ad return game sound untill restart please make follow
i love this game it is very wonderful quality art n graphic every this is amazing but my only problem is that wen u play online u win vip card once u beat a level but wen u go to useactivate those card the card are not working it will say try again later other than that this game is very amazing so  star,4,Hello! Thank you for your kind words! We are glad that you liked the game and will make it even more exciting in the next updates. Stay tuned! Have a good game!,love game wonderful quality art n graphic every amazing problem wen u play online u win vip card u beat level wen u go useactivate card card working say try later game amazing  star
i love this game  video game ,5,,love game  video game 
phenomenon occurs during a game,5,,phenomenon occurs game
i want the decor lol,5,,want decor lol
i dont like the new update it freezing it take so long when i open the game i already connect it to the internet but i can not open it anymore it totally freezing why is this happen huh please fix the problem because im already on level ive take a lot of effort for the game just to reach on that level because i really love the game so please fix it a soon a possible,3,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Support or via support@playflock.com! We will be happy to help!,dont like new update freezing take long open game already connect internet open anymore totally freezing happen huh please fix problem im already level ive take lot effort game reach level really love game please fix soon possible
i hate how cant this control not my mobaile  pouting face  pouting face ,1,Hello! Do you have some troubles with the game? Let us know about it! You can do it through game by clicking Settings -> Support or via support@playflock.com! We will be happy to help!,hate cant control mobaile  pouting face  pouting face 
fun game defiantly recommend  kissing face ,5,,fun game defiantly recommend  kissing face 
i love the character thing you have to match fix in this gamei love all the new decoration in this gamei hope you can make thousand of levals,5,,love character thing match fix gamei love new decoration gamei hope make thousand levals
this game becomes tedious and down right aggravating very quickly i dont play board for hour or day and i sure a sh dont play board for people to talk and stupid thing like that this game is about a fun a a root canal trash and it isnt an offline game like it state you have to be online to load new area which make this game a data hog if you look at the response from the devs it all the same computer generated bullsh they only want your,1,"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in the future!
",game becomes tedious right aggravating quickly dont play board hour day sure sh dont play board people talk stupid thing like game fun root canal trash isnt offline game like state online load new area make game data hog look response devs computer generated bullsh want
this game wa great until after me playing it for almost a year they changed it so i uninstalling it dont recommend it to anyone,1,Hello! Sorry to hear that you don't like new updates. Could you please give us some feedback about it? We've tried to make our game as enjoyable as we could and your feedback will help us to make our game better in future!,game wa great playing almost year changed uninstalling dont recommend anyone
face game and face game fotos,1,Hello! Sorry to hear that you don't like our game. Could you please give us some feedback about it? We've tried to make our game as enjoyable as we could and your feedback will help us to make our game better in future!,face game face game fotos
it take a lot of time to get my key and i need some other game to help me get my key faster,1,"Hello! Sorry that our game didn't match your expectations. Maybe if you give it one more chance, the game will interest you with plot twists. And this will make you change your opinion about the game!",take lot time get key need game help get key faster
it amazing gamein this we have to decor the hotel  hotel  which is very interesting  thinking face  thinking face  thinking face  grinning face with smiling eye  grinning face with smiling eye  grinning face with smiling eye  grinning face with smiling eye  love  red heart  ittt  smiling face with hearteyes ,5,,amazing gamein decor hotel  hotel  interesting  thinking face  thinking face  thinking face  grinning face smiling eye  grinning face smiling eye  grinning face smiling eye  grinning face smiling eye  love  red heart  ittt  smiling face hearteyes 
fun and very addictive love this game,5,,fun addictive love game
it suppose to be even when you change phone you dont have start all over again  person facepalming ,3,"Hello! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Support or via support@playflock.com! We will be happy to help!
",suppose even change phone dont start  person facepalming 
not bad but not good  thumb up ,3,Hello! Sorry to hear that you don't like our game. Could you please give us some feedback about it? We've tried to make our game as enjoyable as we could and your feedback will help us to make our game better in future!,bad good  thumb 
sometimes you can match  together,4,,sometimes match  together
this app is so so much boring  zzz  i hate this game  exploding head  angry face with horn  skull and crossbones ,1,Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!,app much boring  zzz  hate game  exploding head  angry face horn  skull crossbones 
the game is good but drain bundle  beaming face with smiling eye ,5,,game good drain bundle  beaming face smiling eye 
a great and fun time,5,,great fun time
it didnt install the floor kinda sad i wa having fun,3,"Hello! If you have some troubles with the game, you can always contact with our support team about this by clicking Settings -> Help or via support@playflock.com! We will be happy to help you!",didnt install floor kinda sad wa fun
i love the game but actually im giving it five star so i can have exclusive stuff,5,,love game actually im giving five star exclusive stuff
it good but it not how they say it is they talk too much and boring,2,"Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our game! Thank you for your review! We will take it into account and will try to make our game better in future!
",good say talk much boring
i just love this gamei love how there also a conversation going on in the gameit make it more fun i have never given a review on game bbut this one trust me i love it,5,,love gamei love also conversation going gameit make fun never given review game bbut one trust love
i love this game offline and interactive interesting storyline,5,,love game offline interactive interesting storyline
worst game ever i played candy crush saga is better than it yuck ।,1,,worst game ever played candy crush saga better yuck ।
i love you so much game,5,,love much game
good game to play  beaming face with smiling eye  beaming face with smiling eye ,5,,good game play  beaming face smiling eye  beaming face smiling eye 
great time pas but you need time to play,5,,great time pas need time play
this game is not really fun to see or play,2,"Hello! If you like our game, could you please give us 5 stars rating?
",game really fun see play
totally enjoy the game,5,,totally enjoy game
is the best  face blowing a kiss  face blowing a kiss ,5,,best  face blowing kiss  face blowing kiss 
because it take time to finish the hotel  hotel  and you get one key every time you play the crush game,4,"Hello! Thank you for your feedback! Meanwhile, if you like other aspects of the game, maybe you can change your rating to five stars please? Thanks in advance!",take time finish hotel  hotel  get one key every time play crush game
i think it is a good game very good and i like playing this type of game,5,,think good game good like playing type game
well this actually kinda enjoyable game tho tbh while relaxing non to do this is definitely great for killing time for sure for sure,5,"Hello. Thank you for your kind words! Your feedback really moves us forward! We are still working on making our game better and more enjoyable for you. Stay with us!
",well actually kinda enjoyable game tho tbh relaxing non definitely great killing time sure sure
techno gamerz horror choo the same,2,"Hello! Could you tell us why you gave such a rating? Feedback will help us improve the game, it is always important for us!
",techno gamerz horror choo
it véry big story and am in level  and that photo of city look amazing and my favorite room is frozen kitchen,5,,véry big story level  photo city look amazing favorite room frozen kitchen
somehow enjoying but the mini game is something hard to play most of time it difficult to get a key to proceed and when you get  you will use it all on just one mission,2,"Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!
",somehow enjoying mini game something hard play time difficult get key proceed get  use one mission
i got the latest game update but there is no new chapter or new stage for the game what should i do,4,,got latest game update new chapter new stage game
it is very amazing and lovely i love  two heart  it  beating heart  so much love  two heart  you,5,,amazing lovely love  two heart   beating heart  much love  two heart 
i love the game but some level are too hard to complete and the problem is the sound of the game stop after advertise so plz solve this problem,3,"Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!
",love game level hard complete problem sound game stop advertise plz solve problem
family hotel love …,5,,family hotel love …
nice game  video game ,5,,nice game  video game 
the reason for low rating at the moment is photo of app really use common sense it is game that childrens may like i like story of game but photo reflect different story photo make it seem like this is some adult game dont go by this trend be original,1,Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in the future!,reason low rating moment photo app really use common sense game childrens may like like story game photo reflect different story photo make seem like adult game dont go trend original
i am given you three  glowing star  it wa helpful i found a way to get a better life  grinning face  woman student ,3,"Hello! Thank you for your kind words! If you like our game, maybe you can change your rating to five stars please? That would be very kind of you! Thanks in advance!
",given three  glowing star  wa helpful found way get better life  grinning face  woman student 
best game ever,5,,best game ever
game ha gotten beyond pathetic yeah i get it the higher the level the harder they get news flashthey shouldnt get that difficult,2,"Hello! Sorry that you didn't enjoy the difficulty of our game. We've tried to make it as accessible as we could! We will take your feedback into account and will try to make the game better in future!
",game ha gotten beyond pathetic yeah get higher level harder get news flashthey shouldnt get difficult
decent game so far,5,,decent game far
nice relaxing way to pas the time,5,,nice relaxing way pas time
fun somewhat mysterious cute character so far,5,,fun somewhat mysterious cute character far
