developer_response,review_description,rating,review_description_after_removing_stop_words
"{'id': 28651223, 'body': 'Hello! We have fixed bugs in the game and made changes to the balance to make it better for you! Could you give our game another chance and change your rating to five stars?', 'modified': '2022-03-18T12:40:51Z'}",i have been on level  for over a week after almost  attempt to win dozen of booster and paying for five more move i m now broke and still on level  and this ha become the norm for family hotel it wa my favorite game and i ve spent hundred of dollar supporting the app but i m not going to keep putting money into a game that intentionally design level that are impossible to pas without paying i ve also tried reaching you several time through the help button but it requires a pin and i have never received one i do nt want to quit you but i m not a good loser and paying to win is nt really winning,3,level  week almost  attempt win dozen booster paying five move m broke still level  ha become norm family hotel wa favorite game ve spent hundred dollar supporting app m going keep putting money game intentionally design level impossible pas without paying ve also tried reaching several time help button requires pin never received one nt want quit m good loser paying win nt really winning
"{'id': 29870558, 'body': ""Hello! Sorry to hear that you don't like something from the game! We want to bring only enjoyment with our games! Thank you for your review! We will take it into account and will try to make our game better in future!\r\n"", 'modified': '2022-05-20T15:42:32Z'}",i play penny and flo ad ilys garden but like to have something else when i m all caught up with story line both of those game have better graphic better decor to chose from and better story line the story line here sometimes read like it wa written in another language and some word and meaning get lost in the translation i m going to stick around for now and hope thing improve i do like the opportunity to win booster i do wish the clothes were more practical and no i would never pay money for clothes or decor but i do like to win opportunity for them take a gander at the two game that i mentioned earlier for some tip thank you,3,play penny flo ad ilys garden like something else m caught story line game better graphic better decor chose better story line story line sometimes read like wa written another language word meaning get lost translation m going stick around hope thing improve like opportunity win booster wish clothes practical would never pay money clothes decor like win opportunity take gander two game mentioned earlier tip thank
,i have given up on similar game far before this level although i ve spent several hundred this far it can be done for less using replay and watching ad what i like… connor s effect when they are available huge help to maximize level play i like the vip pas i do nt care for the exhibition hall or the suitcase with the k grand prize the two time i made it to the end cost me more than that in gold  character and lot of hotel ground still not revealed i do nt know how long this continues,5,given similar game far level although ve spent several hundred far done less using replay watching ad like… connor s effect available huge help maximize level play like vip pas nt care exhibition hall suitcase k grand prize two time made end cost gold  character lot hotel ground still revealed nt know long continues
,so far this game is fun and i like the story behind it there are some hard level but you are nt stuck on them for day like the other game you may play so far their price are pretty reasonable if you are a player to spend money so far i found that if you do purchase you are pretty much likely to get the reward at the end unlike some other matching game i m definitely going to keep playing this game to see where the story go good luck to all player,5,far game fun like story behind hard level nt stuck day like game may play far price pretty reasonable player spend money far found purchase pretty much likely get reward end unlike matching game m definitely going keep playing game see story go good luck player
"{'id': 40861713, 'body': 'Hello! Sorry to hear that! Could you please contact our support team about this problem? You can do it through the game by clicking Settings → Help or via support@playflock.com! We will be happy to help!\r\n', 'modified': '2023-12-23T13:51:53Z'}",okay so i ve only been playing for four day i am enjoying the story although having to close  special offer  six time in order to play is annoying it is understandable you have to make money somehow got it and yes i m happy to buy one here and there i can even understand watching an ad or three for certain decoration what i ca nt understand are the glitch that crash the game a the ad is sending me back to the game i m having to reboot the game over and over it is ridiculous i also think that when you stick in banner that advertise stuff like double down casino when i run out of move and need to decide whether or not to buy more move is particularly bad i m already spending money on this game and am making the choice to watch ad even though with the crash i m not getting the reward for watching them you should nt be forcing banner on me too i m thinking i m going to have to walk away from this game even though i am enjoying the game itself because the rest of it is nt worth it,2,okay ve playing four day enjoying story although close  special offer  six time order play annoying understandable make money somehow got yes m happy buy one even understand watching ad three certain decoration ca nt understand glitch crash game ad sending back game m reboot game ridiculous also think stick banner advertise stuff like double casino run move need decide whether buy move particularly bad m already spending money game making choice watch ad even though crash m getting reward watching nt forcing banner m thinking m going walk away game even though enjoying game rest nt worth
"{'id': 28652421, 'body': 'Hello! We have fixed bugs in the game and made changes to the balance to make it better for you! Could you give our game another chance and change your rating to five stars?', 'modified': '2022-03-18T13:42:47Z'}",i hate to write a review that s anything but positive however i highly enjoy this game it doe get to a point where you pretty much can not pas the level without purchasing boost or thing to help you they become nearly impossible to pas and you only get  life before you ca nt play for a few hour unless you purchase life i ca nt see myself wanting to continue playing if it s going to be this hard to pas and move forward i do nt mind ad and stuff a it is a free game but it feel like it s pretty much impossible to complete unless you purchase thing,3,hate write review s anything positive however highly enjoy game doe get point pretty much pas level without purchasing boost thing help become nearly impossible pas get  life ca nt play hour unless purchase life ca nt see wanting continue playing s going hard pas move forward nt mind ad stuff free game feel like s pretty much impossible complete unless purchase thing
,i love it definitely one of the better matchingdecorating game out there that i ve found it s not too hard nor too easy which is a good because a challenge is thought provoking the graphic are well done in detail which i love some other game that i ve played similar to this one sometimes have very childish graphic or decoration that do nt match which i feel ruin a game i look forward to seasonal decoration and update  grinning face with big eye ,5,love definitely one better matchingdecorating game ve found s hard easy good challenge thought provoking graphic well done detail love game ve played similar one sometimes childish graphic decoration nt match feel ruin game look forward seasonal decoration update  grinning face big eye 
"{'id': 16828689, 'body': 'Hi! We have listened to you. We will try to avoid such situations in the future because we understand you. Thank you for your comment!', 'modified': '2020-07-23T10:04:58Z'}",the game itself is cute but i do nt understand why you would require so many key to get a task done example to find a phone there are three part and by three part i do nt mean one key per each part it s one key for the first part two key for the second and three for the third that s six hard earned key in all it s ridiculous and no matter if the level is a breeze or hard the outcome is you still only get one key perhaps that s something you could look into while the game is fun and cute i ca nt see myself playing it for long because of these ridiculous earning and using of your key system,3,game cute nt understand would require many key get task done example find phone three part three part nt mean one key per part s one key first part two key second three third s six hard earned key s ridiculous matter level breeze hard outcome still get one key perhaps s something could look game fun cute ca nt see playing long ridiculous earning using key system
"{'id': 18937754, 'body': ""Hi! We're so sorry. Please write to our Support team playflock@gmail.com"", 'modified': '2020-11-06T09:18:37Z'}",i downloaded this game about a week ago and wa able to play through a lot of the main hall storyline along with finishing the first guest room however the next day when i went to play having closed out of all other apps and having more than enough space on my phone it refuse to launch it will show the loading screen stuck at  before crashing roughly  second later i did manage to get it to load once in the past several day long enough to get through all the pay ad but a soon a i went to load the next level it crashed i m afraid to uninstall the game and lose all my progress since i do nt think there wa an option to connect to facebook or something honestly wish i could give it  star but the constant crashing over the past several day ha brought it down to a ,4,downloaded game week ago wa able play lot main hall storyline along finishing first guest room however next day went play closed apps enough space phone refuse launch show loading screen stuck  crashing roughly  second later manage get load past several day long enough get pay ad soon went load next level crashed m afraid uninstall game lose progress since nt think wa option connect facebook something honestly wish could give  star constant crashing past several day ha brought 
"{'id': 37279176, 'body': ""Hello! Sorry to hear that you don't like amount of ads. We really appreciate your feedback, our specialists will take it into account and will try to make our game better in the future! Meanwhile, if you like other aspects of the game, maybe you can change your rating to five stars please? Thanks in advance!\r\n"", 'modified': '2023-06-22T21:35:14Z'}",the game would be more enjoyable if there werent so many ad it insane that i get an ad every  second or that if i want nicer furniture i have to watch three ad simply to unlock it and if i switch the furniture i have to rewatch the ad to just to switch it back it make it completely unenjoyable to sit around and play i understand a few ad now and again but seriously aside from that the game is good it basically like any other matching game but id rather play something like lily garden or penny and flo because they dont have a many advertisement,2,game would enjoyable werent many ad insane get ad every  second want nicer furniture watch three ad simply unlock switch furniture rewatch ad switch back make completely unenjoyable sit around play understand ad seriously aside game good basically like matching game id rather play something like lily garden penny flo dont many advertisement
,so far i have no horrible qualm with this game it ha really nice game play furniture and character design the only thing i kind of do nt like is that although they have booster you can watch ad to get sometimes the booster opportunity wo nt pop up when you actually need them badly to be a hard level other than that i really like this game it s super fun and really easy to play,5,far horrible qualm game ha really nice game play furniture character design thing kind nt like although booster watch ad get sometimes booster opportunity wo nt pop actually need badly hard level really like game s super fun really easy play
"{'id': 17817564, 'body': ""Hi Kim!\nSorry that this happened.\nPlease contact us at playflock@gmail.com and send the following info:\n1. Your ingame ID (can be found in the lower left corner of the settings tab);\n2. Date of the purchase.\nWe'll try to help! Thank you"", 'modified': '2020-09-11T06:42:49Z'}",this is an awesome game but i am not happy with this game because i just purchased for  the whole group of bedroom furniture and a new item for the wardrobe for connor all of these thing were one purchase for  the game froze so i had to delete it and redownload it and it did not give me back the item i purchased i do not do facebook so how can i get back all the item i purchased thank you,5,awesome game happy game purchased  whole group bedroom furniture new item wardrobe connor thing one purchase  game froze delete redownload give back item purchased facebook get back item purchased thank
"{'id': 19396816, 'body': 'Hi TLCHOMES!\n\nPlease send us your ingame ID. It can be found in the lower left corner of the loading screen and in the settings tab. We will try to figure out what is going on.\n\nThank you!', 'modified': '2020-11-27T16:40:15Z'}",this game is enjoyable fun puzzle great storyline so far but the new furniture download wo nt work i hope others are nt having the same issue it s not my wifi or device issue because other game download new content just fine i tried the  help  feature in setting just a white screen appears and nothing more this could be a total user error a i can go to new level puzzle but i still ca nt progress to new story level until the furniture download happens any suggestion,3,game enjoyable fun puzzle great storyline far new furniture download wo nt work hope others nt issue s wifi device issue game download new content fine tried  help  feature setting white screen appears nothing could total user error go new level puzzle still ca nt progress new story level furniture download happens suggestion
,i ve just started playing this game and i already love it the story is very interesting the character and game are wonderfully designed you can learn new fact about the character and also change their wardrobe so many option for the design aspect the match game are fun too well done on this game  thumb up  light skin tone  grinning face with big eye  edit i am experiencing terrible lagging my game just exited on me mid level can you fix this bug,5,ve started playing game already love story interesting character game wonderfully designed learn new fact character also change wardrobe many option design aspect match game fun well done game  thumb  light skin tone  grinning face big eye  edit experiencing terrible lagging game exited mid level fix bug
,out of all the match game i ve played this one is best by far the story throughout the game is well written and keep my attention it s cute too i love getting to fix up the hotel and decorate it if i could think of anything to improve it would be having more pet and more outfit for the character get this game  two heart ,5,match game ve played one best far story throughout game well written keep attention s cute love getting fix hotel decorate could think anything improve would pet outfit character get game  two heart 
"{'id': 14383589, 'body': 'Hi! Thanks for the feedback! We will pass on the information to our game designers.', 'modified': '2020-04-01T08:50:14Z'}",not even a hint look up the definition of a hint it not a power up like they suggest the writing of the story is poor a simple task take many key to complete every time you load the game it suggests you buy something and there is no way to turn this off they act like they read and respond to the review but no change have been made based on the review the music i monotonous they have shaking game piece that will trick you into making a move that is not helpful and there is no way to turn it off i think they have such a high rating due to fake reviewer,1,even hint look definition hint power like suggest writing story poor simple task take many key complete every time load game suggests buy something way turn act like read respond review change made based review music monotonous shaking game piece trick making move helpful way turn think high rating due fake reviewer
,the game is fun and challenging which is nice but the main thing that ha gotten extremely irritating is since level  task object that have  or  key option are doubling the key so a simple coffee table is taking  key instead of  which is obnoxious when you spend so much time trying to complete level for  key to turn around and see nothing accomplished on the hotel cause it s taking all the key for  object  part objective should take  key not   part objective should take  key not ,2,game fun challenging nice main thing ha gotten extremely irritating since level  task object   key option doubling key simple coffee table taking  key instead  obnoxious spend much time trying complete level  key turn around see nothing accomplished hotel cause s taking key  object  part objective take  key   part objective take  key 
,love the gameso t mind buying coin to advance if needed promotion are awesome the only issue that is really getting to me is that the game often frequently crash and return me to my iphone home screen and i have to access game again the issue i have with this is that it s happens mid game and i loose booster if this could be fixed and not happen any longer i ll keep the game on my device but if not fixed then i ll have to delete game  disappointed face ,4,love gameso mind buying coin advance needed promotion awesome issue really getting game often frequently crash return iphone home screen access game issue s happens mid game loose booster could fixed happen longer ll keep game device fixed ll delete game  disappointed face 
,i really enjoy playing family hotel it s calming and keep your mind of if you had a stressful day the graphic are beautiful my only problem is sometimes the level are so hard to beat and it force you to buy bomb or what s needed to get through the level i understand that it ha to be a challenge to a point but not that hard thanks,5,really enjoy playing family hotel s calming keep mind stressful day graphic beautiful problem sometimes level hard beat force buy bomb s needed get level understand ha challenge point hard thanks
,i mean it s the same a many others but so far i love the story line have nt been playing too long but only had a few ad and have not run into any bug or level so difficult i have to purchase i did purchase the season ticket which wa really cheap so i could get the pet,5,mean s many others far love story line nt playing long ad run bug level difficult purchase purchase season ticket wa really cheap could get pet
,i wa overwhelmed by ad in the beginning about to quit playing but i loved the storyline the character the puzzle are challenging but not too extreme i used the add to my advantage to get powerups when a new season begani invested in a pas wow so many reward just for playing a game i already enjoy,5,wa overwhelmed ad beginning quit playing loved storyline character puzzle challenging extreme used add advantage get powerups new season begani invested pas wow many reward playing game already enjoy
,there s no need for tutorial in a match  game it s very annoying i do nt like to be cheated so what you created the game but when all can have been removed and the board remains stagnant you are cheating there were more than twelve move left and the level did not rise for me to clear the rest of the can you kept it on that level only for me to have to exhaust all of my move and lose i do nt like cheater,4,s need tutorial match  game s annoying nt like cheated created game removed board remains stagnant cheating twelve move left level rise clear rest kept level exhaust move lose nt like cheater
"{'id': 20787870, 'body': ""Hi! Could you possible specify which levels made you get stuck? Maybe there are issues that need to be dealt with which we don't know about."", 'modified': '2021-02-01T16:36:53Z'}",i like some of the new effect they ve added with their most recent update the bee however are now silly and take up more time when i want to just pop in for a quick break during work on the whole i love the game—some of the updates… not so much i appreciate that the developer are trying new thing,4,like new effect ve added recent update bee however silly take time want pop quick break work whole love game—some updates… much appreciate developer trying new thing
,this game is so much fun i love the storyline so far the only thing i would recommend changingimproving is when you re picking out design sometimes there is a th design that we can unlock by watching an ad which is fine except for when they lock a watching i feel like that should be unlimited,5,game much fun love storyline far thing would recommend changingimproving re picking design sometimes th design unlock watching ad fine except lock watching feel like unlimited
,i think this game is  star because it fun entertaining and when your bored you play this game and you get addicted i would recommend even at first i did nt like game with the little mini game but this is a perfect combination of those game and the main game,5,think game  star fun entertaining bored play game get addicted would recommend even first nt like game little mini game perfect combination game main game
"{'id': 14030219, 'body': 'Hi, Ranny H! Please try to open the game again and enter it with high Wi-Fi connection and restart your device. This should help. Write to us about the results.', 'modified': '2020-03-13T14:45:21Z'}",since a few week ago the game started to crash sometimes in the middle of the game it stopped working and nothing would move anymore sometimes even i had to restart my ipad because i could nt close the app after updating i hopped the problem would be solved but it is not i lost many explosive and life in difficult level and it s really frustrating,3,since week ago game started crash sometimes middle game stopped working nothing would move anymore sometimes even restart ipad could nt close app updating hopped problem would solved lost many explosive life difficult level s really frustrating
,i have been playing this game now for about a month i am of the age to stay in so i tried this game on the review i have bought one small deal they had i am on level  and i have used the three different thing to help you get pas this level but nothing worked i have come to the point that i have to stop playing this game i do not want to get frustrated,4,playing game month age stay tried game review bought one small deal level  used three different thing help get pas level nothing worked come point stop playing game want get frustrated
,i enjoy the game but some of the tack are not worth one key for example i should nt have to use like  key to get anna s luggage i should have just bin  or maybe  i really feel like that s unfair it s hard enough to get key to make everything expensive also you should consider selling key i would buy them some people like the story but not the puzzle so it might help,4,enjoy game tack worth one key example nt use like  key get anna s luggage bin  maybe  really feel like s unfair s hard enough get key make everything expensive also consider selling key would buy people like story puzzle might help
"{'id': 27117989, 'body': ""Hello! Sorry to hear that! We will let our specialists know about this trouble and will try to fix it as soon as we can! Just in case, feel free to contact with us about such problems directly by clicking Settings -> Help or via support@playflock.com! We're always happy to help! Thank you for letting us know about this issue!"", 'modified': '2021-12-29T08:34:16Z'}",i love this game but the new update today ha removed the music from game play part of what i ve loved about it wa the gentle music playing during each level now it s silent except for the game play effect they are so completely annoying i know lot of people play with no sound but i do nt enjoy that is there any way to get the music back,3,love game new update today ha removed music game play part ve loved wa gentle music playing level s silent except game play effect completely annoying know lot people play sound nt enjoy way get music back
,i found a few typo s throughout the dialogue and i have trouble selecting some of the wall decoration due to the way the wall go down when you look at them i d suggest a button to manually put wall up or down besides that i absolutely love this game it s a real standout amongst similar match  game and i look forward to see what s in the future for this game,4,found typo s throughout dialogue trouble selecting wall decoration due way wall go look d suggest button manually put wall besides absolutely love game s real standout amongst similar match  game look forward see s future game
,i love the plot to this particular one and honestly you are better off not buying anything really it s not that bad i think compared to other game with cosmetic the character actually look better a they are it s just so fun and relaxing,5,love plot particular one honestly better buying anything really s bad think compared game cosmetic character actually look better s fun relaxing
,this game is really fun it s better then most they give you level that are easy to beat so you can advance quicker and there are so many chance to get bonus item and power ups to help you beat the occasional hard level you get i m so glad i found this game,5,game really fun s better give level easy beat advance quicker many chance get bonus item power ups help beat occasional hard level get m glad found game
"{'id': 24579917, 'body': 'Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it through game by clicking Settings -> Help or via support@playflock.com! We will be happy to help!', 'modified': '2021-08-18T13:15:46Z'}",i ve been playing for over a month now and i can play the puzzle but i can not play the actual game it will not load i ve asked several time about this issue to only be told we will have an update by last weekend it is frustrating to not get a definite answer to when this issue will be fixed,3,ve playing month play puzzle play actual game load ve asked several time issue told update last weekend frustrating get definite answer issue fixed
,i wa appropriately apprehensive of this game but i wa pleasantly surprised by the story line and game play i am glad you there are so many choice and you can watch video for some of them overall i do nt really have any complaint so far,5,wa appropriately apprehensive game wa pleasantly surprised story line game play glad many choice watch video overall nt really complaint far
,i have played a ton of these type of match game doing renovation they get old very quickly but this game is actually fun it ha a great story line and many option to choose from when doing the renovation to the hotel,5,played ton type match game renovation get old quickly game actually fun ha great story line many option choose renovation hotel
,it fun and i love the decoration and the dog is so cutebut the main thing is how much graphic and animating it would probably take so many year to actually do this by you re self  thinking face  i hope it thay make more update,5,fun love decoration dog cutebut main thing much graphic animating would probably take many year actually re self  thinking face  hope thay make update
"{'id': 20398032, 'body': 'Hi! Thanks for the feedback! We will pass on the information to our game designers.', 'modified': '2021-01-14T10:03:15Z'}",i m reading review of folk who have the same frustration a i do and they were posted month ago they have obviously made no effort to improve the experience i play a lot of these type game if it look like you only need  key to complete a task it actually need  key the puzzle can be difficult and confusing a booster often do nt behave a you would expect and the ad at the beginning are ridiculous,2,m reading review folk frustration posted month ago obviously made effort improve experience play lot type game look like need  key complete task actually need  key puzzle difficult confusing booster often nt behave would expect ad beginning ridiculous
,i love this game it definitely help pas the time i havent had to spend any cash which is nice because so many game lately make it to where you have to buy stuff in order to go any further in the game,5,love game definitely help pas time havent spend cash nice many game lately make buy stuff order go game
,great game i ve been on it for about a week and for about a week i ve been stuck on level  i ca nt get the duck past the top of the board so i only get the first page done also i d like the storyline with the game please answer me what do i do with level  i would appreciate it,5,great game ve week week ve stuck level  ca nt get duck past top board get first page done also d like storyline game please answer level  would appreciate
